0	53
54	59
114	56
170	53
223	59
282	57
339	55
394	57
451	58
509	54
563	64
627	61
688	59
747	62
809	63
872	58
930	94
1024	66
1090	61
1151	55
1206	69
1275	57
1332	53
1385	62
1447	59
1506	51
1558	57
1615	56
1671	52
1723	59
1782	60
1842	63
1905	51
1956	57
2014	60
2074	52
2127	59
2186	57
2243	53
2296	57
2353	60
2413	51
2464	62
2526	58
2584	52
2636	56
2693	59
2752	52
2804	52
2857	56
2913	61
2974	50
3024	60
3084	57
3141	55
3196	56
3253	57
3310	50
3360	62
3422	59
3481	55
3536	57
3593	60
3653	63
3717	57
3774	70
3844	59
3903	54
3957	68
4025	60
4085	55
4140	343
4483	59
4542	54
4596	60
4656	66
4722	54
4776	58
4834	60
4894	52
4946	58
5004	58
5062	62
5124	53
5178	57
5235	59
5294	51
5345	59
5404	61
5465	50
5515	61
5576	57
5633	50
5684	57
5741	63
5804	52
5856	56
5912	58
5970	65
6035	51
6087	57
6144	60
6204	51
6255	66
6321	60
6381	53
6434	62
6496	55
6551	53
6604	59
6664	58
6722	53
6775	58
6833	69
6902	54
6956	59
7015	59
7074	63
7137	104
7241	61
7302	62
7364	55
7419	59
7478	59
7537	50
7588	55
7643	58
7701	54
7755	58
7813	57
7870	54
7924	58
7983	59
8042	60
8102	52
8154	56
8210	57
8267	51
8318	63
8381	59
8440	117
8557	57
8614	59
8673	52
8725	57
8782	60
8842	54
8896	57
8954	64
9018	57
9075	52
9127	55
9182	60
9242	52
9294	58
9352	56
9408	68
9476	62
9538	58
9596	50
9646	59
9706	58
9764	51
9815	66
9882	58
9940	56
9996	57
10054	57
10112	57
10169	51
10220	61
10281	57
10338	57
10395	62
10457	63
10520	54
10574	58
10632	58
10690	64
10754	58
10813	58
10871	52
10923	59
10982	60
11042	59
11101	51
11152	58
11210	62
11272	53
11325	57
11382	60
11442	52
11494	57
11551	58
11609	54
11663	59
11722	58
11780	52
11832	59
11891	77
11968	52
12020	56
12076	58
12134	59
12193	54
12247	56
12303	58
12361	54
12415	57
12472	60
12532	55
12587	60
12647	72
12719	52
12771	61
12833	56
12889	50
12939	62
13001	60
13061	59
13120	54
13174	60
13234	57
13291	54
13345	59
13404	59
13463	51
13514	66
13580	62
13642	52
13694	60
13754	57
13811	53
13864	57
13921	64
13985	57
14042	52
14094	62
14156	57
14213	50
14263	60
14324	60
14384	50
14434	69
14503	59
14562	51
14613	60
14673	60
14733	51
14784	59
14844	67
14911	54
14965	58
15023	100
15123	62
15185	80
15265	76
15341	60
15402	52
15454	59
15513	61
15574	52
15626	61
15687	59
15746	51
15798	63
15861	59
15920	56
15976	66
16042	57
16099	62
16161	52
16213	62
16275	70
16345	53
16398	62
16460	60
16520	54
16574	60
16634	61
16695	50
16745	59
16804	63
16867	51
16918	62
16980	60
17040	83
17123	72
17195	68
17263	59
17322	52
17374	58
17432	94
17526	56
17582	64
17646	61
17707	77
17784	409
18193	79
18272	53
18325	70
18395	72
18467	73
18540	84
18624	97
18721	113
18834	103
18937	212
19149	82
19231	84
19315	99
19414	115
19529	114
19643	109
19752	94
19846	92
19938	130
20068	115
20183	115
20298	63
20362	62
20424	60
20484	50
20534	66
20600	61
20661	52
20713	66
20779	60
20839	52
20891	59
20950	59
21009	52
21061	59
21120	60
21180	51
21231	59
21290	59
21349	62
21411	53
21464	58
21522	70
21592	49
21641	63
21704	61
21765	52
21817	64
21881	60
21941	52
21993	69
22062	60
22122	50
22172	58
22230	58
22288	50
22338	55
22393	58
22451	58
22509	51
22561	67
22628	74
22702	52
22754	89
22843	66
22909	82
22991	59
23050	58
23108	50
23158	61
23219	58
23277	55
23332	58
23390	56
23446	62
23508	52
23560	61
23621	59
23680	51
23731	59
23790	63
23853	50
23903	58
23961	58
24019	54
24073	66
24140	59
24199	53
24252	65
24317	66
24383	58
24441	54
24495	64
24559	62
24621	71
24692	66
24758	59
24817	53
24870	61
24931	67
24998	53
25051	58
25109	58
25167	52
25219	61
25280	61
25341	51
25392	62
25454	64
25518	60
25578	53
25631	60
25692	58
25750	50
25800	61
25861	57
25918	53
25971	59
26030	57
26087	57
26144	56
26200	57
26257	54
26311	56
26367	60
26427	58
26485	55
26540	58
26598	60
26658	53
26711	60
26771	67
26838	56
26894	63
26957	62
27019	52
27071	58
27129	58
27187	52
27239	59
27298	60
27358	60
27418	66
27484	114
27598	58
27656	56
27712	56
27768	55
27823	51
27874	64
27938	58
27996	57
28053	63
28116	55
28171	53
28224	60
28285	57
28342	53
28395	53
28449	57
28506	58
28564	56
28620	60
28680	554
29234	57
29291	59
29350	57
29407	52
29459	59
29518	60
29578	55
29633	57
29690	58
29748	51
